calendar,name,start,end,location,description,fetched_at
Python Events,Python Education Summit Kigali,2023-04-14 00:00,2023-04-16 00:00,"Kampala, Uganda","<body><a href=""http://afrodjangoinitiatives.org/event/9"">Python <br>
Education Summit Kigali</a></body>...",2025-06-02 01:40:23 UTC
Python Events,PyCon PL 2017,2017-08-17 00:00,2017-08-21 00:00,"Hotel Ossa Congress & SPA, Ossa, Poland","<a href=""https://pl.pycon.org/2017/index_en"">PyCon PL</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon IT 8,2017-04-15 00:00,2017-04-18 00:00,"Hotel Mediterraneo - Lungarno del Tempio, 44, 50121 Firenze FI, Italy","<a href=""https://www.pycon.it/en/"">PyCon Italia</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Poland 2013,2013-10-17 00:00,2013-10-21 00:00,„Orle Gniazdo” („Eagle's Nest”) Congress and Recreation Center in Szczyrk,"<a href=""http://pl.pycon.org/"">PyCon Poland 2013</a>...",2025-06-02 01:40:23 UTC
Python Events,SciPy US 2024,2024-07-08 00:00,2024-07-14 00:00,"Tacoma, USA","<a href=""https://scipy2024.scipy.org"">SciPy US 2024</a>...",2025-06-02 01:40:23 UTC
Python Events,EuroSciPy 2022,2022-08-29 00:00,2022-09-03 00:00,"Basel, Switzerland","<a href=""https://www.euroscipy.org/2022/"">EuroSciPy 2022</a>...",2025-06-02 01:40:23 UTC
Python Events,enterPy (cancelled),2020-11-23 00:00,2020-11-25 00:00,"Heidelberg, Germany","<a href=""https://www.enterpy.de/"">enterPy</a>...",2025-06-02 01:40:23 UTC
Python Events,PyCon Indonesia 2020,2020-11-14 00:00,2020-11-16 00:00,Online,"<a href=""https://pycon.id/"">PyCon Indonesia 2020</a>...",2025-06-02 01:40:23 UTC
Python Events,Python Brasil 2017,2017-10-06 00:00,2017-10-12 00:00,"Belo Horizonte, State of Minas Gerais, Brazil","<a href=""http://2017.pythonbrasil.org.br/"">Python Brasil 13</a>...",2025-06-02 01:40:23 UTC
Python Events,"Science Hack Day, India 2018",2018-11-02 00:00,2018-11-05 00:00,"Belgaum, India","<a href=""http://sciencehackday.in/"">Science Hack Day, India 2018</a>...",2025-06-02 01:40:23 UTC
Python Events,Python for ML and AI Global Summit'21,2021-04-08 00:00,2021-04-10 00:00,N/A,"<pre><a href=""https://link.geekle.us/python/offsite"" id=""ow420"" __is_owner=""true""><span>Python for ML and AI Global Summit'21</span></a></pre>...",2025-06-02 01:40:23 UTC
Python Events,PyCon mini Tokai 2024,2024-11-16 00:00,2024-11-17 00:00,"Nagoya, Aichi, Japan","<a href=""https://tokai.pycon.jp/2024/"">PyCon mini Tokai 2024</a>...",2025-06-02 01:40:23 UTC
Python Events,Python Nordeste 2022,2022-08-26 00:00,2022-08-29 00:00,"Aracaju, Brazil","<a href=""https://2022.pythonnordeste.org/"">Python Nordeste 2022</a>...",2025-06-02 01:40:23 UTC
Python Events,PyDay Asunción,2015-03-28 00:00,2015-03-29 00:00,"Asunción, Paraguay","<a href=""http://pyday.pythonpy.org/"">PyDay Asunción</a>...",2025-06-02 01:40:23 UTC
Python Events,DjangoCon Europe 2020,2020-09-18 00:00,2020-09-20 00:00,Online,"<a href=""https://2020.djangocon.eu/"">DjangoCon EU 2020</a>...",2025-06-02 01:40:23 UTC
Python Events,DjangoCongress JP 2023,2023-10-07 00:00,2023-10-08 00:00,"Tokyo, Japan","<pre class=""moz-quote-pre"" wrap=""""><a href=""https://djangocongress.jp/"">DjangoCongress JP 2023</a></pre>...",2025-06-02 01:40:23 UTC
Python Events,Flask Conference,2018-08-24 00:00,2018-08-26 00:00,"São Paulo, Brazil","<a href=""http://flask.python.org.br/"">Flask Conference</a>...",2025-06-02 01:40:23 UTC
Python Events,Plone Conference 2025,2025-10-13 00:00,2025-10-20 00:00,"Jyväskylä, Finland","<a href=""https://2025.ploneconf.org/"">Plone Conference 2025</a>...",2025-06-02 01:40:23 UTC
Python Events,FOSDEM 2018,2018-02-03 00:00,2018-02-05 00:00,"Brussels, Belgium","<a href=""https://fosdem.org/2018/"">FOSDEM 2018</a> with Python track...",2025-06-02 01:40:23 UTC
